Questions	Answers
Account Cancellation	Subject	
I can't find the trust business guide video.	I'm online with the IRS applyimg for my business trust EIN. I need the videwo guide so I don't mess it up. I was watching it last night, now I can't find it anywhere. I just don't want to mess up my very first step. please help. thank you.	
Location of Recordings	The recordings are housed somewhere, but I sure cannot find them. Thank you for getting me on the right track! Glen	
Website and partnership	I spoke with Paulmichael on partnering with him on his I need remedy now course by adding him and his team to my website. I offer credit repair and have a link on my website to bring potential clients to his platform. According to Paulmichael, as long as his price for his services is covered, I will be offering a alternative price to cover the difference. I want to make sure that before my website is launched that it's set up properly and all the loose ends are covered.	
Website update and partnership	I spoke with Paulmichael on partnering with him on his I need remedy now course by adding his services to my website. I offer credit repair and have a link on my website to bring potential clients to his platform. According to Paulmichael, as long as his price for his services is covered, I will be offering a alternative price to cover the difference. I want to make sure that before my website is launched that it is set up properly and all loose ends are covered.	
LMS Button	I would like to have access to the LMS course creation please.	
LMS Course Creation	I would like access to course creation. Thank you	
Class links	I had a link to I Want Remedy class yesterday but not today. Also, how do I make payments to utilize the $10 unlock offer?	
Would like to update my Business Bank Account for future payments	"Hi,
  I would like to update my Business Account for Future 
  Guide me with steps or let me know what information you need which I can share 
  Thanks,
  Chris"	
Please help me find Paulmichael's video teaching how to get the EIN, how to do and file the Trust Declaration, etc	"I am lost again in trying to find the video explaining how to get the EIN #, get the Ipostal 1 address, fill out the Trust Declaration, and open the Business Bank Account.
  Can someone please help and guide me on how relocate that video?
  
  Thanks; Alberto Rodriguez"	
Payment	"Not able to make payment for the membership for the month of February with this link:
  https://quickclick.com/r/m7o5skh90z5o7s6x6bg9yeklf7ql3f
  Could you let me know how to make payment to keep the account activate"	
Double Charged	I was charged $69 on January the 30th and $69 on January the 31st. I had requested that these payments come out of my account on the second of each month and they just keep getting earlier and earlier. Until one of these $69 is credited back to me I cannot make my rent payment which is due by the 5th. I always make my rent payment on the 1st. My rent was the only thing that I left in this account. This information was transmitted in a response email on 2/1. Immediate attention would be greatly appreciated.	
Website design and partnership	I spoke with Paulmichael on partnering with him on his I need remedy now course by adding him and his team to my website. I offer credit repair and have a link on my website to bring potential clients to his platform. According to Paulmichael, as long as his price for his services is covered, I will be offering a alternative price to cover the difference. I want to make sure that before my website is launched that it's set up properly and all the loose ends are covered.	
Partnering with Creditor academy on my website by leveraging I need remedy now	I spoke with Paulmichael on partnering with him on his I need remedy now course by adding him and his team to my website. I offer credit repair and have a link on my website to bring potential clients to his platform. According to Paulmichael, as long as his price for his services is covered, I will be offering a alternative price to cover the difference. I want to make sure that before my website is launched that it's set up properly and all the loose ends are covered.	
Cancel Subscription	"Cancel subscription immediately and do not charge my card or account. I have decided that Creditor Academy is not the best resource for me navigating in the private. Thank you for all your past services.
  
  Sincerely, 
  Mario Claudio Jr."	
What is the charge that was attempted today for $270+ Canadian ...	I only have the master class with you for $99 American so how is it that I'm getting this attempted charge when I already had a charge go through on January 17	
Page not opening SCORM Content	Unable to open page due to Apple MacBook block	
